step,selection_source,partitions,executors,replication,batch_size,placement,status,throughput_cases_per_s,experiment_elapsed_s,latency_mean_ms,memory_peak_mb,best_so_far_cases_per_s,best_gain_vs_fresh_baseline_pct,reason,receipt,observed_receipt,measurement_file
0,scripted_baseline,3,1,1,1,single-node,success,0.428476,7.002,2275.072,,0.428476,0.0,,23af6ba466d04e4b8f3ab1849c53a72c,,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790280935231771295/baseline/measurement.json
1,random,3,2,1,2,single-node,success,0.539415,5.562,2452.369,,0.539415,25.8915318477581,Uniform random choice without replacement; seed=101,ac589d3d103347beab6b2ea5f740f927,23af6ba466d04e4b8f3ab1849c53a72c,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790280935231771295/step-1/measurement.json
2,random,3,3,1,1,single-node,success,0.464079,6.464,2083.673,,0.539415,25.8915318477581,Uniform random choice without replacement; seed=101,d9e287d8ee1f4545b853269777aea7c2,ac589d3d103347beab6b2ea5f740f927,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790280935231771295/step-2/measurement.json
3,random,3,2,1,1,single-node,success,0.498538,6.018,1934.441,,0.539415,25.8915318477581,Uniform random choice without replacement; seed=101,565be820344b4d10902b167b3b9821fb,d9e287d8ee1f4545b853269777aea7c2,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790280935231771295/step-3/measurement.json
4,random,3,3,1,2,single-node,success,0.702539,4.27,2015.065,,0.702539,63.9622756000336,Uniform random choice without replacement; seed=101,d9e2ee34ad44435a82f89543a5bb1ccf,565be820344b4d10902b167b3b9821fb,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790280935231771295/step-4/measurement.json
