step,selection_source,partitions,executors,replication,batch_size,placement,status,throughput_cases_per_s,experiment_elapsed_s,latency_mean_ms,memory_peak_mb,best_so_far_cases_per_s,best_gain_vs_fresh_baseline_pct,reason,receipt,observed_receipt,measurement_file
0,scripted_baseline,3,1,1,1,single-node,success,0.474335,6.325,2047.92,,0.474335,0.0,,b68e0abdd3f1401986724d50a97a5c76,,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790281029548140574/baseline/measurement.json
1,random,3,2,1,1,single-node,success,0.395477,7.586,2452.259,,0.474335,0.0,Uniform random choice without replacement; seed=102,3d6a7bcd47bc46069171e5ecb7e5ba09,b68e0abdd3f1401986724d50a97a5c76,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790281029548140574/step-1/measurement.json
2,random,3,3,1,2,single-node,success,0.508807,5.896,2610.716,,0.508807,7.267437570493418,Uniform random choice without replacement; seed=102,f97236d47c1f4dc7ac2af331c91b6773,3d6a7bcd47bc46069171e5ecb7e5ba09,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790281029548140574/step-2/measurement.json
3,random,3,3,1,1,single-node,success,0.422303,7.104,2308.534,,0.508807,7.267437570493418,Uniform random choice without replacement; seed=102,ba847993ccf54f03916adfa41aca2516,f97236d47c1f4dc7ac2af331c91b6773,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790281029548140574/step-3/measurement.json
4,random,3,2,1,2,single-node,success,0.63155,4.75,2212.074,,0.63155,33.14429675229531,Uniform random choice without replacement; seed=102,dc20ce12b3de4464922b12f30847c9f9,ba847993ccf54f03916adfa41aca2516,/global/u1/m/makhatri/chia-agentic-memscale/results/comparison-random-58835485-1790281029548140574/step-4/measurement.json
